minprice,maxprice,modalprice,pricedate
10000,14000,12000,23-Apr-24
10000,12500,11500,22-Apr-24
10000,14000,12000,20-Apr-24
8000,12000,10000,19-Apr-24
10000,14000,12000,18-Apr-24
10000,12500,11500,17-Apr-24
10000,12500,11500,15-Apr-24
10000,14000,12000,08-Apr-24
10000,14000,12000,06-Apr-24
10000,13000,12000,05-Apr-24
10000,14000,12000,04-Apr-24
10000,12500,11500,03-Apr-24
10000,14000,12000,02-Apr-24
10000,12500,11500,01-Apr-24
8000,12000,10000,30-Mar-24
8000,12000,10000,28-Mar-24
10000,14000,12000,27-Mar-24
9000,13000,11000,26-Mar-24
10000,14000,12000,25-Mar-24
9000,13000,11000,22-Mar-24
8000,12000,10000,21-Mar-24
10000,12500,11500,20-Mar-24
10000,12000,11000,19-Mar-24
10000,12500,11500,18-Mar-24
8000,12000,10000,16-Mar-24
10000,13000,11500,15-Mar-24
8000,12000,10000,14-Mar-24
10000,13000,11500,13-Mar-24
7500,11500,9500,12-Mar-24
10000,13000,11500,11-Mar-24
10000,12000,11000,07-Mar-24
10000,13000,11500,06-Mar-24
10000,12000,11000,05-Mar-24
10000,13000,11500,04-Mar-24
10000,12000,11000,02-Mar-24
8000,12000,10000,01-Mar-24
10000,13000,11500,29-Feb-24
10000,12000,11000,28-Feb-24
10000,13000,11500,27-Feb-24
10000,12000,11000,26-Feb-24
10000,12000,11000,23-Feb-24
10000,13000,11500,22-Feb-24
10000,12000,11000,21-Feb-24
10000,13000,11500,20-Feb-24
10000,12000,11000,19-Feb-24
8000,12000,10000,17-Feb-24
10000,13000,11500,16-Feb-24
10000,12000,11000,15-Feb-24
10000,13000,11500,14-Feb-24
8000,12000,10000,13-Feb-24
10000,13000,11500,12-Feb-24
10000,12000,11000,09-Feb-24
8000,12000,10000,08-Feb-24
7000,11000,9000,07-Feb-24
7000,10000,8500,06-Feb-24
7000,11000,9000,05-Feb-24
7000,10000,8500,03-Feb-24
7000,11000,9000,02-Feb-24
8000,12000,10000,01-Feb-24
7000,11000,9000,31-Jan-24
8000,12000,10000,30-Jan-24
7000,11000,9000,29-Jan-24
7000,11000,9000,25-Jan-24
8000,12000,10000,24-Jan-24
7500,10000,8500,18-Jan-24
7500,10000,8500,17-Jan-24
9000,11000,10000,16-Jan-24
9000,11000,10000,12-Jan-24
9000,13000,11000,11-Jan-24
9000,13000,11000,10-Jan-24
9000,13000,11000,09-Jan-24
7500,10000,8500,08-Jan-24
7500,10500,9000,06-Jan-24
8000,12000,10000,05-Jan-24
7000,10000,9000,04-Jan-24
7500,11500,9500,03-Jan-24
8000,12000,10000,02-Jan-24
7000,11000,9000,01-Jan-24
8000,12000,10000,30-Dec-23
7500,11500,9500,29-Dec-23
7000,11000,9000,28-Dec-23
7000,11000,9000,27-Dec-23
7000,10000,8500,26-Dec-23
7000,10000,8500,22-Dec-23
6500,9500,8000,21-Dec-23
7500,10000,8500,20-Dec-23
6000,10000,8000,19-Dec-23
6000,10000,8000,18-Dec-23
7000,10000,8500,16-Dec-23
