minprice,maxprice,modalprice,pricedate
1650,1650,1650,10-Feb-24
2000,2000,2000,12-Aug-23
2000,2000,2000,15-Jul-23
2500,2500,2500,08-Jul-23
2500,2500,2500,01-Jul-23
2500,2500,2500,23-Jun-23
2500,2500,2500,17-Jun-23
2500,2500,2500,10-Jun-23
2500,2500,2500,03-Jun-23
2500,2500,2500,27-May-23
2500,2500,2500,20-May-23
2500,2500,2500,13-May-23
2500,2500,2500,06-May-23
2000,2000,2000,29-Apr-23
2000,2000,2000,22-Apr-23
2000,2000,2000,15-Apr-23
2000,2000,2000,08-Apr-23
2500,2500,2500,01-Apr-23
2500,2500,2500,25-Mar-23
2500,2500,2500,18-Mar-23
2500,2500,2500,11-Mar-23
2500,2500,2500,04-Mar-23
2500,2500,2500,25-Feb-23
2500,2500,2500,18-Feb-23
3300,3300,3300,11-Feb-23
2500,2500,2500,04-Feb-23
2500,2500,2500,28-Jan-23
2500,2500,2500,21-Jan-23
2500,2500,2500,14-Jan-23
2500,2500,2500,07-Jan-23
2000,2000,2000,31-Dec-22
2500,2500,2500,24-Dec-22
3300,3300,3300,17-Dec-22
2500,2500,2500,10-Dec-22
3300,3300,3300,03-Dec-22
2500,2500,2500,27-Nov-22
2500,2500,2500,19-Nov-22
2500,2500,2500,12-Nov-22
3300,3300,3300,05-Nov-22
3300,3300,3300,22-Oct-22
3300,3300,3300,10-Sep-22
2500,2500,2500,20-Aug-22
3300,3300,3300,13-Aug-22
2500,2500,2500,30-Jul-22
2500,2500,2500,23-Jul-22
3300,3300,3300,09-Jul-22
3300,3300,3300,02-Jul-22
600,600,600,06-Apr-24
2000,2000,2000,11-Oct-23
2000,2000,2000,07-Mar-23
2500,2500,2500,22-Feb-23
3000,3000,3000,01-Feb-23
2500,2500,2500,20-Jan-23
4000,4000,4000,16-Aug-22
3000,3000,3000,14-Jul-22
2000,2500,2200,20-Apr-24
2500,3000,2600,16-Apr-24
1500,2500,2000,06-Apr-24
1500,2500,2000,04-Apr-24
