minprice,maxprice,modalprice,pricedate
1900,2100,2000,30-Mar-24
1800,2000,1850,09-Jan-24
1600,1800,1700,31-Jul-23
2000,2000,2000,11-Jul-23
2000,2000,2000,01-Jul-23
2000,2000,2000,10-Jun-23
2000,2000,2000,03-Jun-23
2000,2000,2000,23-May-23
2100,2100,2100,30-Apr-23
2000,2000,2000,11-Apr-23
2100,2100,2100,01-Apr-23
2000,2000,2000,11-Mar-23
2000,2000,2000,01-Feb-23
1400,2000,1500,01-Jan-23
1500,1500,1500,23-Dec-22
1500,1500,1500,22-Dec-22
2000,2000,2000,10-Dec-22
1600,2100,2000,26-Nov-22
2500,2500,2500,24-Nov-22
1500,1500,1500,19-Nov-22
1500,1500,1500,15-Nov-22
1500,2175,1600,10-Nov-22
2000,2000,2000,05-Nov-22
1350,1350,1350,16-Oct-22
2200,2200,2200,01-Oct-22
2000,2100,2000,28-Sep-22
2000,2000,2000,31-Aug-22
2200,2200,2200,31-Jul-22
2100,2100,2100,19-Jul-22
2100,2100,2100,30-Jun-22
2400,2400,2400,23-Apr-24
1900,2250,2250,24-Jan-24
2200,2200,2200,19-Jan-24
2100,2100,2100,16-Dec-23
2100,2100,2100,05-Dec-23
2200,2200,2200,28-Nov-23
2250,2250,2250,24-Nov-23
2290,2290,2290,23-May-23
2300,2300,2300,15-Feb-23
2150,2150,2150,03-Feb-23
2150,2150,2150,23-Jan-23
2000,2000,2000,06-Jan-23
2200,2200,2200,03-Jan-23
2300,2300,2300,04-Mar-24
2300,2300,2300,22-Feb-24
2300,2300,2300,19-Feb-24
2200,2300,2300,11-Feb-24
2000,2000,2000,21-Jan-24
2300,2300,2300,20-Jan-24
2250,2250,2250,16-Dec-23
2300,2300,2300,04-Dec-23
2200,2300,2250,03-Dec-23
2300,2300,2300,02-Dec-23
2300,2350,2350,27-Nov-23
2300,2300,2300,23-Nov-23
2300,2300,2300,22-Nov-23
2300,2300,2300,21-Nov-23
2300,2300,2300,20-Nov-23
2000,2300,2300,18-Nov-23
1800,2300,2300,15-Nov-23
2100,2100,2100,16-Oct-23
2000,2000,2000,22-Jun-23
2100,2100,2100,18-Jun-23
2100,2100,2100,13-Jun-23
2000,2000,2000,04-Jun-23
2000,2000,2000,25-May-23
2000,2000,2000,16-Apr-23
2000,2200,2000,30-Mar-23
2000,2200,2100,14-Mar-23
2000,2000,2000,13-Mar-23
2000,2000,2000,09-Mar-23
2000,2000,2000,07-Mar-23
2000,2000,2000,04-Mar-23
2100,2100,2100,23-Feb-23
2000,2000,2000,19-Feb-23
2100,2100,2100,06-Feb-23
2100,2100,2100,05-Feb-23
2000,2000,2000,03-Jan-23
2000,2000,2000,29-Dec-22
2200,2200,2200,21-Dec-22
2000,2000,2000,13-Dec-22
