minprice,maxprice,modalprice,pricedate
2000,2000,2000,10-Feb-24
2000,2000,2000,05-Aug-23
2000,2000,2000,30-Jul-23
2500,2500,2500,15-Jul-23
2000,2000,2000,08-Jul-23
2000,2000,2000,23-Jun-23
2000,2000,2000,17-Jun-23
2000,2000,2000,03-Jun-23
2000,2000,2000,27-May-23
2000,2000,2000,23-May-23
2000,2000,2000,06-May-23
2000,2000,2000,22-Apr-23
2000,2000,2000,11-Apr-23
2000,2000,2000,08-Apr-23
2000,2000,2000,25-Mar-23
2000,2000,2000,11-Mar-23
2000,2000,2000,11-Feb-23
2000,2000,2000,04-Feb-23
2000,2000,2000,28-Jan-23
2000,2000,2000,14-Jan-23
2000,2000,2000,10-Jan-23
2000,2000,2000,31-Dec-22
2000,2000,2000,17-Dec-22
2000,2000,2000,10-Dec-22
2500,2500,2500,03-Dec-22
2000,2000,2000,24-Nov-22
2000,2000,2000,12-Nov-22
200,2500,2200,05-Nov-22
2000,2000,2000,15-Oct-22
2000,2000,2000,13-Oct-22
2000,2000,2000,24-Sep-22
2000,2000,2000,22-Sep-22
2000,2000,2000,17-Sep-22
2000,2000,2000,10-Sep-22
2000,2000,2000,27-Aug-22
2000,2000,2000,20-Aug-22
2000,2000,2000,06-Aug-22
2000,2000,2000,30-Jul-22
2000,2000,2000,16-Jul-22
2000,2000,2000,09-Jul-22
2000,2000,2000,02-Jul-22
1100,1100,1100,19-Apr-24
1600,1600,1600,17-Apr-24
1600,1600,1600,02-Mar-24
1000,1000,1000,23-Feb-24
1000,1500,1500,10-Feb-24
1600,1600,1600,05-Feb-24
1100,1100,1100,18-Jan-24
1100,1100,1100,09-Jan-24
2000,2000,2000,26-Dec-23
1600,1600,1600,21-Dec-23
1600,1600,1600,04-Dec-23
1800,1800,1800,29-Nov-23
1000,1000,1000,27-Nov-23
1600,1600,1600,22-Nov-23
3212,3212,3212,25-Oct-23
2000,2000,2000,07-Oct-23
1800,1800,1800,05-Oct-23
1100,1100,1100,18-Aug-23
850,850,850,27-Jul-23
1000,1000,1000,10-Jul-23
1100,1100,1100,03-Jul-23
1000,1000,1000,14-Jun-23
1000,1000,1000,25-May-23
700,700,700,09-Mar-23
1000,1500,1200,03-Dec-22
3000,3000,3000,07-Nov-22
1000,1000,1000,31-Oct-22
10000,10000,10000,29-Sep-22
1000,1000,1000,29-Aug-22
1000,1000,1000,25-Aug-22
800,800,800,20-Jun-22
800,800,800,06-Jun-22
800,800,800,04-Jun-22
800,800,800,16-May-22
350,1200,800,10-Feb-24
900,1700,1400,15-Jul-23
1000,2000,1400,08-Jul-23
800,1900,1250,04-Jul-23
350,1400,800,27-Jun-23
300,1300,800,20-Jun-23
450,1400,1100,17-Jun-23
300,1200,800,13-Jun-23
300,1300,800,10-Jun-23
400,1300,800,06-Jun-23
350,1200,800,03-Jun-23
300,1150,600,30-May-23
300,850,500,23-May-23
300,800,500,20-May-23
300,900,600,16-May-23
300,900,600,13-May-23
300,900,600,06-May-23
600,1550,1000,01-Apr-23
400,1400,1000,16-Aug-22
500,1400,1000,13-Aug-22
500,1350,1000,09-Aug-22
500,1300,1000,06-Aug-22
300,1600,1300,02-Aug-22
600,1500,1000,30-Jul-22
400,1300,1000,26-Jul-22
650,1300,1000,22-Jul-22
650,1300,1000,19-Jul-22
400,1800,1200,16-Jul-22
600,1500,1200,12-Jul-22
450,1400,1000,09-Jul-22
350,1450,1050,05-Jul-22
350,1400,1100,21-Jun-22
300,1500,1000,18-Jun-22
450,1500,1100,14-Jun-22
300,1300,800,07-Jun-22
500,1300,800,04-Jun-22
200,1200,800,31-May-22
300,1200,800,24-May-22
