minprice,maxprice,modalprice,pricedate
1600,1600,1600,29-Apr-23
2500,2500,2500,22-Apr-23
1600,1600,1600,23-Jul-22
1192,1192,1192,06-Apr-24
1000,1000,1000,27-Mar-24
1000,2000,1500,16-Nov-23
1200,1200,1200,15-Nov-23
2000,2000,2000,08-Nov-23
1000,1000,1000,30-Oct-23
1000,1000,1000,21-Oct-23
500,1000,558,19-Oct-23
1000,1000,1000,12-Oct-23
600,600,600,11-Oct-23
500,500,500,06-Oct-23
500,500,500,05-Oct-23
500,500,500,04-Oct-23
500,500,500,03-Oct-23
600,600,600,30-Sep-23
500,500,500,29-Sep-23
500,500,500,25-Sep-23
2000,2000,2000,24-Aug-23
8000,8000,8000,07-Aug-23
2000,2000,2000,16-Jun-23
1000,1000,1000,22-May-23
1000,1000,1000,23-Mar-23
1000,1000,1000,17-Mar-23
1000,1000,1000,28-Feb-23
1000,1000,1000,20-Feb-23
1000,1000,1000,13-Feb-23
1500,1500,1500,06-Feb-23
2500,2500,2500,01-Feb-23
2250,5000,3165,30-Jan-23
2500,2500,2500,27-Jan-23
1000,5000,1730,23-Jan-23
2000,2000,2000,16-Jan-23
1000,1000,1000,13-Jan-23
1000,2750,1500,09-Jan-23
800,800,800,20-Dec-22
800,800,800,07-Dec-22
2000,2000,2000,06-Dec-22
480,480,480,16-Nov-22
2000,2000,2000,03-Nov-22
2500,2500,2500,13-Sep-22
1500,1500,1500,12-Sep-22
1500,1500,1500,08-Sep-22
2000,2000,2000,01-Sep-22
480,480,480,18-Aug-22
1000,1000,1000,11-Aug-22
1000,1000,1000,22-Jul-22
2000,2000,2000,14-Jul-22
3100,3100,3100,24-Jun-22
600,600,600,17-Jun-22
1000,1000,1000,04-May-22
1000,1000,1000,26-Apr-22
1000,1000,1000,25-Apr-22
308,1462,1077,24-Apr-24
308,2000,1154,23-Apr-24
385,1538,1232,20-Apr-24
385,1538,1231,19-Apr-24
385,1769,1154,18-Apr-24
308,1538,1077,17-Apr-24
308,1538,1000,16-Apr-24
308,1385,923,15-Apr-24
231,1385,769,14-Apr-24
308,1615,769,13-Apr-24
385,2308,1385,06-Apr-24
308,2385,1693,05-Apr-24
385,2308,1231,04-Apr-24
308,2385,1693,03-Apr-24
385,2308,1231,02-Apr-24
385,2308,1231,01-Apr-24
308,1923,1000,31-Mar-24
308,1769,1000,30-Mar-24
385,2308,1231,29-Mar-24
385,1769,1231,28-Mar-24
308,1692,1231,27-Mar-24
231,1385,1154,26-Mar-24
231,1385,1154,25-Mar-24
231,1385,1077,24-Mar-24
308,1538,1231,23-Mar-24
231,1385,1077,22-Mar-24
231,1538,1231,21-Mar-24
231,1692,1076,20-Mar-24
231,1538,1231,19-Mar-24
231,1769,1231,18-Mar-24
231,1692,1231,17-Mar-24
231,1846,1076,16-Mar-24
231,1923,1000,15-Mar-24
231,1846,1077,14-Mar-24
231,1538,1077,13-Mar-24
231,1923,923,12-Mar-24
231,1923,923,12-Mar-24
231,1846,1231,11-Mar-24
231,1923,1076,07-Mar-24
231,1846,1154,06-Mar-24
231,1538,923,05-Mar-24
231,1692,1154,04-Mar-24
231,1154,923,03-Mar-24
231,1154,769,02-Mar-24
231,1308,846,01-Mar-24
231,1230,769,29-Feb-24
231,1154,846,28-Feb-24
231,1154,846,27-Feb-24
231,1154,769,26-Feb-24
231,769,538,25-Feb-24
231,923,538,24-Feb-24
231,1077,615,23-Feb-24
538,1308,923,22-Feb-24
231,1385,923,21-Feb-24
231,1154,769,20-Feb-24
231,1231,769,19-Feb-24
231,1154,769,18-Feb-24
231,1308,769,17-Feb-24
231,1154,615,16-Feb-24
231,1153,615,14-Feb-24
231,1385,1153,13-Feb-24
231,1692,1153,12-Feb-24
231,1846,1154,11-Feb-24
231,1385,1077,10-Feb-24
615,1538,1076,09-Feb-24
769,1923,1346,08-Feb-24
1150,2300,1725,07-Feb-24
110,370,240,06-Feb-24
100,350,225,05-Feb-24
100,320,210,04-Feb-24
100,350,225,03-Feb-24
100,250,175,02-Feb-24
100,280,190,01-Feb-24
110,300,205,31-Jan-24
100,300,200,30-Jan-24
110,260,185,29-Jan-24
100,250,175,28-Jan-24
100,210,155,27-Jan-24
80,250,165,26-Jan-24
100,280,190,25-Jan-24
100,280,190,24-Jan-24
100,280,190,23-Jan-24
100,260,180,22-Jan-24
80,250,165,17-Jan-24
80,150,115,16-Jan-24
150,250,200,11-Jan-24
100,260,180,04-Jan-24
120,270,195,01-Jan-24
150,300,225,31-Dec-23
100,200,150,30-Dec-23
100,250,175,29-Dec-23
100,200,150,28-Dec-23
100,250,175,26-Dec-23
100,200,150,22-Dec-23
100,200,150,21-Dec-23
80,250,165,20-Dec-23
100,300,200,19-Dec-23
30,170,100,18-Dec-23
30,150,90,17-Dec-23
30,140,85,16-Dec-23
30,150,90,15-Dec-23
30,160,95,14-Dec-23
150,250,200,13-Dec-23
100,260,180,12-Dec-23
50,280,165,08-Dec-23
80,250,165,07-Dec-23
280,2600,1400,18-Nov-23
300,2600,1450,17-Nov-23
300,2700,1500,16-Nov-23
330,2300,1315,15-Nov-23
300,2300,1300,14-Nov-23
300,2600,1400,09-Nov-23
300,2200,1250,08-Nov-23
600,2100,1350,03-Nov-23
400,2000,1200,02-Nov-23
330,2200,1265,29-Oct-23
300,2000,1150,28-Oct-23
300,1300,800,27-Oct-23
300,1200,750,26-Oct-23
320,1170,750,25-Oct-23
300,1300,800,21-Oct-23
300,1150,700,20-Oct-23
750,1500,1100,14-Sep-23
700,1500,1000,13-Sep-23
850,1500,1000,12-Sep-23
750,1500,1250,11-Sep-23
810,1500,1155,08-Sep-23
320,1200,800,06-Sep-23
380,1500,1200,05-Sep-23
350,1600,1000,04-Sep-23
1500,2300,1800,02-Sep-23
