minprice,maxprice,modalprice,pricedate
2600,2800,2700,19-Oct-23
2700,3550,2700,26-Mar-24
3475,3475,3475,28-Feb-24
2901,3840,2901,08-Feb-24
2951,2951,2951,30-Jan-24
2850,3611,3400,03-Jan-24
3000,3000,3000,05-Dec-23
3075,3611,3278,23-Nov-23
2815,2815,2815,21-Sep-23
2801,2801,2801,29-Aug-23
3325,3325,3325,01-Aug-23
2601,6572,3225,25-Jul-23
2575,3075,2745,05-Jun-23
2500,2500,2500,09-May-23
2500,3050,2500,26-Apr-23
2500,3175,2500,01-Apr-23
2811,3025,2903,03-Mar-23
3125,3125,3125,08-Feb-23
2925,3325,3076,27-Jan-23
2925,2925,2925,21-Dec-22
2861,3350,3000,24-Nov-22
2700,2700,2700,27-Oct-22
2775,3000,2800,22-Sep-22
2720,2950,2800,17-Aug-22
2650,2825,2710,12-Jul-22
2690,2690,2690,26-May-22
3000,3000,3000,14-Jun-23
3600,3600,3600,11-May-23
2400,2400,2400,02-Aug-22
1211,1211,1211,22-Mar-23
3600,3900,3750,23-Apr-24
3600,3900,3750,22-Apr-24
3600,3900,3750,19-Apr-24
3600,3900,3750,18-Apr-24
3600,3900,3750,17-Apr-24
3600,3900,3750,16-Apr-24
3600,3900,3750,15-Apr-24
3600,3900,3750,05-Apr-24
3600,3900,3750,30-Mar-24
3800,4400,4100,28-Mar-24
3800,4400,4100,27-Mar-24
3800,4400,4100,26-Mar-24
3800,4400,4100,25-Mar-24
3800,4400,4100,22-Mar-24
3800,4400,4100,21-Mar-24
3800,4400,4100,20-Mar-24
3800,4400,4100,18-Mar-24
3800,4400,4100,15-Mar-24
3800,4400,4100,14-Mar-24
3800,4400,4100,13-Mar-24
3800,4400,4100,12-Mar-24
3800,4400,4100,11-Mar-24
3900,4300,4100,10-Jan-24
3900,4300,4100,09-Jan-24
3900,4300,4100,08-Jan-24
3900,4300,4100,06-Jan-24
3900,4300,4100,05-Jan-24
3900,4300,4100,04-Jan-24
3900,4300,4100,03-Jan-24
3900,4300,4100,02-Jan-24
3900,4300,4100,01-Jan-24
3900,4300,4100,30-Dec-23
3900,4300,4100,29-Dec-23
3900,4300,4100,28-Dec-23
3900,4300,4100,27-Dec-23
3900,4300,4100,26-Dec-23
3900,4300,4100,22-Dec-23
3900,4300,4100,21-Dec-23
3900,4300,4100,20-Dec-23
3600,4500,4050,15-Dec-23
3600,4500,4050,14-Dec-23
3600,4500,4050,13-Dec-23
3600,4500,4050,12-Dec-23
3600,4500,4050,11-Dec-23
3600,4500,4050,08-Dec-23
3600,4500,4050,07-Dec-23
3600,4500,4050,06-Dec-23
3600,4500,4050,05-Dec-23
3600,4500,4050,01-Dec-23
3600,4500,4050,29-Nov-23
3600,4500,4050,27-Nov-23
3600,4500,4050,23-Nov-23
3600,4500,4050,22-Nov-23
3600,4700,4150,21-Nov-23
3600,4700,4150,20-Nov-23
3600,4700,4150,18-Nov-23
3600,4700,4150,15-Nov-23
3600,4700,4150,09-Nov-23
3600,4700,4150,08-Nov-23
3600,4700,4150,07-Nov-23
3600,4700,4150,06-Nov-23
3600,4700,4150,04-Nov-23
3600,4700,4150,03-Nov-23
3600,4700,4150,02-Nov-23
3600,4700,4150,30-Oct-23
3600,4700,4150,27-Oct-23
3600,4700,4150,26-Oct-23
3600,4700,4150,25-Oct-23
3600,4700,4150,21-Oct-23
3600,4700,4150,20-Oct-23
3600,4700,4150,19-Oct-23
3600,4700,4150,18-Oct-23
3600,4700,4150,17-Oct-23
3600,4700,4150,16-Oct-23
3600,4600,4100,09-Oct-23
3600,4600,4100,07-Oct-23
3600,4600,4100,06-Oct-23
3600,4600,4100,05-Oct-23
3600,4600,4100,04-Oct-23
3600,4600,4100,03-Oct-23
3600,4600,4100,21-Sep-23
3600,4600,4100,19-Sep-23
3600,4600,4100,16-Sep-23
3600,4600,4100,15-Sep-23
3600,4600,4100,12-Sep-23
3600,4600,4100,11-Sep-23
3600,4600,4100,06-Sep-23
3600,4600,4100,05-Sep-23
3600,4600,4100,04-Sep-23
3600,4600,4100,02-Sep-23
3600,4600,4100,01-Sep-23
3600,4600,4100,31-Aug-23
3600,4600,4100,30-Aug-23
3900,4200,4050,29-Aug-23
3900,4200,4050,28-Aug-23
3900,4200,4050,25-Aug-23
3900,4200,4050,23-Aug-23
3900,4200,4050,22-Aug-23
3900,4200,4050,21-Aug-23
3900,4200,4050,19-Aug-23
3900,4200,4050,18-Aug-23
3900,4200,4050,17-Aug-23
3000,4500,3750,11-Aug-23
3000,4500,3750,10-Aug-23
3000,4500,3750,09-Aug-23
3000,4500,3750,08-Aug-23
3000,4500,3750,07-Aug-23
3000,4500,3750,05-Aug-23
3000,4500,3750,04-Aug-23
3000,4500,3750,03-Aug-23
3000,4500,3750,02-Aug-23
3000,4500,3750,01-Aug-23
2800,3800,3300,31-Jul-23
2800,3800,3300,28-Jul-23
2800,3800,3300,27-Jul-23
2800,3800,3300,26-Jul-23
2800,3800,3300,25-Jul-23
2800,3800,3300,24-Jul-23
2800,3800,3300,21-Jul-23
2800,3800,3300,20-Jul-23
2800,3800,3300,18-Jul-23
2800,3800,3300,17-Jul-23
2800,3800,3300,14-Jul-23
2800,3800,3300,13-Jul-23
2800,3800,3300,12-Jul-23
